wkt_geom,Plan_Title,Year,Basin,SubBasin,River_Stream,Organization,Link
NULL,Fountain Creek Watershed Plan,2003,Arkansas,11020003,Fountain Creek,Pikes Peak Area Council of Governments ,http://cwcbweblink.state.co.us/weblink/0/doc/136931/Electronic.aspx?searchid=eeac973e-818b-4075-b648-6d9a08192b4a
NULL,Arkansas River Watershed Invasive Plants Plan,2008,Arkansas,11020002,Arkansas River; Purgatoire River; Huerfano River' Apishapa River; Fountain Creek,Southeastern Colorado Water Conservancy District,http://www.tamariskcoalition.org/sites/default/files/images/ARKWIPP%20Plan.pdf
NULL,Arkansas River Watershed Invasive Plants Plan,2008,Arkansas,11020010,Arkansas River; Purgatoire River; Huerfano River' Apishapa River; Fountain Creek,Southeastern Colorado Water Conservancy District,http://www.tamariskcoalition.org/sites/default/files/images/ARKWIPP%20Plan.pdf
NULL,Arkansas River Watershed Invasive Plants Plan,2008,Arkansas,11020006,Arkansas River; Purgatoire River; Huerfano River' Apishapa River; Fountain Creek,Southeastern Colorado Water Conservancy District,http://www.tamariskcoalition.org/sites/default/files/images/ARKWIPP%20Plan.pdf
NULL,Arkansas River Watershed Invasive Plants Plan,2008,Arkansas,11020003,Arkansas River; Purgatoire River; Huerfano River' Apishapa River; Fountain Creek,Southeastern Colorado Water Conservancy District,http://www.tamariskcoalition.org/sites/default/files/images/ARKWIPP%20Plan.pdf
NULL,Arkansas River Watershed Invasive Plants Plan,2008,Arkansas,11020007,Arkansas River; Purgatoire River; Huerfano River' Apishapa River; Fountain Creek,Southeastern Colorado Water Conservancy District,http://www.tamariskcoalition.org/sites/default/files/images/ARKWIPP%20Plan.pdf
NULL,Tackling Tamarisk on the Purgatoire:,,,,,,
A Consolidated Woody Invasive Species Management,,,,,,,
Plan for Colorado’s Purgatoire Watershed  ,2008,Arkansas,11020010,Purgatoire River,Tackling Tamarisk on the Purgatoire,http://www.tamariskcoalition.org/sites/default/files/images/TTP%20Plan%20final%208-08.pdf,
NULL,Strategic Plan for the Fountain Creek Watershed,2009,Arkansas,11020003,Fountain Creek,Fountain Creek Vision Task Force,ftp://ft.dphe.state.co.us/wqc/wqcc/31_85NutrientsRMH_2012/ResponsivePrehearing/LFMSDDex2a.pdf 
NULL,Lower Arkansas Watershed Plan -Phase I,2009,Arkansas,11020000,Lower Arkansas River,Southeast Colorado Resource Conservation & Development,For more information please contact: Southeast Colorado Resource Conservation & Development at 719-336-3437
NULL,"Fountain Creek Watershed Study, Watershed Management Plan",2009,Arkansas,11020003,Fountain Creek,Army Corp of Engineers,http://cwcbweblink.state.co.us/weblink/0/doc/136930/Electronic.aspx?searchid=b6879eae-7485-483b-8267-bf919164e02b
NULL,Fountain Creek Corridor Master Plan ,2011,Arkansas,11020003,Fountain Creek,Fountain Creek Flood Control and Greenway District; Upper Fountain and Cheyenne Creek Coalition,http://www.fountain-crk.org/files/REPORTS/corr_rest_masterplan101811_final.pdf
NULL,Stakeholders' Cooperative Management Analysis for the Upper Arkansas River Basin,2011,Arkansas,11020000,Arkansas River Basin,Arkansas River Roundtable,http://cwcbweblink.state.co.us/weblink/0/doc/157760/Electronic.aspx?searchid=f26ab306-ce4c-4ed2-9595-ae9c21e1e23e
NULL,The Lake Fork of the Arkansas River,,,,,,
Watershed Plan ,2012,Arkansas,11020002,Upper Arkansas River,Lake Fork Watershed Working Group,http://coloradomtn.edu/wp-content/uploads/filebase/lfwwg/watershed-information/Final_Lake_Fork_Watershed_Plan_07292011.pdf,
NULL,Purgatoire River Watershed Plan,2014,Arkansas,11020010,Purgatoire River,Purgatoire Watershed Partnership,http://purgatoirepartnership.org/wp-content/uploads/2015/PWP%20Watershed%20Plan%202014%20FINAL_new.pdf
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",11020001,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190006,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190007,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190004,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",14010001,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",11020003,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190001,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190005,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",11020002,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Protecting Critical Watershed in Colorado from Wildfire: A Technical Approach to Watershed Assessment and Prioritization,2009,"Arkansas, Colorado, South Platte",10190002,"Watersheds on the Front Range: Ark Headwaters, Big-T, Cache la Poudre, Clear Creek, CO Headwaters, Fountain, South Platte Headwaters, St. Vrain, Upper Arkansas, Upper South Platte",Front Range Watershed Wildfire Protection Working Group,http://www.jw-associates.org/Resources/Work%20Group%20Final%20Report%20V6.pdf 
NULL,Sediment Control Action Plan Straight Creek I-70 Corridor,2002,Colorado,14010002,Straight Creek,Colorado Department of Trasnportation ,https://www.codot.gov/projects/contextsensitivesolutions/docs/plans/sc-scap-final.pdf
NULL,Snake River Watershed Plan,2009,Colorado,14010002,Snake River,Blue River Watershed Group,http://blueriverwatershed.org/wp-content/uploads/2009/05/srwp-final-grant-report.pdf
NULL,Grand County Stream Management Plan Draft Report,2010,Colorado,14010001,"Fraser River, Colorado River, Williams Fork, Muddy Creek, Blue River, Reeder Creek, Troublesome Creek, Willow Creek",Board of County Commissioners ,http://co.grand.co.us/DocumentCenter/View/866
NULL,Updated Northwest Colorado Watershed ,,,,,,
Partnership Action Plan (NCWPAP) ,2011,Colorado,14030000,Upper Colorado River Basin,Northwest Colorado Riparian Restoration Partnership,http://www.tamariskcoalition.org/sites/default/files/files/Northwest%20Colorado%20Watershed%20Partnership%20Action%20Plan.pdf,
NULL,Roaring Fork Watershed Plan ,2012,Colorado,14010004,Roaring Fork,Roaring Fork Watershed Collaborative/ Roaring Fork Conservancy/The Watershed Collaborative,http://www.roaringfork.org/pub/collaborative/2012.04.12%20Roaring%20Fork%20Watershed%20Plan%20FINAL.pdf
NULL,North Park Watershed Plan,2012,North Platte,10180001,Covers Jackson County,Owl Mountain Partnership,http://www.owlmountainpartnership.org/
NULL,Tenmile Creek Restoration Project Preliminary Design Plan,2013,Colorado,14010002,Tenmile Creek,Blue River Watershed Group,http://blueriverwatershed.org/wp-content/uploads/2013/02/Tenmile-Creek-Restoration-Project-Design-Report.pdf
NULL,Eagle River Watershed Plan Update ,2013,Colorado,14010003,Eagle,Eagle River Watershed Council,http://www.townofeagle.org/DocumentCenter/View/5960
NULL,Updated Snake River Watershed Plan ,2013,Colorado,14010002,Snake River,Blue River Watershed Group & Snake River Watershed Task Force,http://www.snakerivertaskforce.org/Snake_River_Watershed_Task_Force/Data___Reports.html 
NULL,Middle Colorado Watershed Plan,,Colorado,14010006,Rifle Creek Sub-Watershed,Middle Colorado Watershed Council,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2015-NPS-Projects-Combined.pdf
NULL,Eagle River Watershed Plan,1996,Colorado ,14010003,Eagle River,Eagle River Watershed Council,http://cwcbweblink.state.co.us/weblink/0/doc/136938/Electronic.aspx?searchid=eeac973e-818b-4075-b648-6d9a08192b4a
NULL,State of the Roaring Fork Watershed Report,2008,Colorado ,14010004,Roaring Fork River,Roaring Fork Conservancy and Ruedi Water & Power Authority,http://cwcbweblink.state.co.us/weblink/0/doc/136940/Electronic.aspx?searchid=91db0b1d-f9f9-46f4-b52e-ca4488adab58
NULL,Colorado River Inventory and Assessment,2013,Colorado ,14010003,Eagle,Eagle River Watershed Council,http://cwcbweblink.state.co.us/weblink/0/doc/193010/Electronic.aspx?searchid=f26ab306-ce4c-4ed2-9595-ae9c21e1e23e
NULL,Watershed Plan:  Morphological Assessment,1997,Gunnison,14020004,Nork fork of the Gunnison,North Fork River Improvement Association (Merged with WSERC to become the Western Slope Conservation Center),
NULL,Coal Creek Watershed,,,,,,
Protection Plan ,2005,Gunnison,14020001,Coal Creek ,Coal Creek Watershed Coalition,http://www.coalcreek.org/documents-and-data.html,
NULL,Action Plan,,,,,,
Grand Valley Selenium Task Force ,2009,Gunnison,14020005,Lower Gunnison,Gunnison Basin and Grand Valley Selenium Task Force,http://www.seleniumtaskforce.org/images/GB_Action_Plan_Updated_11-02-09.pdf,
NULL,North Fork of the Gunnison Watershed Plan- Update,2010,Gunnison,14020004,North Fork of the Gunnison River,North Fork River Improvement Association (NFRIA),http://theconservationcenter.org/wp-content/uploads/2013/04/2010_NorthForkWatershedPlanUpdate.pdf
NULL,Lake Fork Valley Conservancy Long Term Monitoring Plan,2012,Gunnison,14020005,Lake Fork of the Gunnison River,Lake Fork Valley Conservancy,http://www.lfvc.org/uploads/1/1/1/6/11162750/lfvc_long_term_monitoring_plan-final.pdf
NULL,Lake Fork of the Gunnison Watershed Plan - Draft,2012,Gunnison,14020005,Lake Fork of the Gunnison River,Lake Fork Valley Conservancy,http://www.lfvc.org/
NULL,Uncompahgre Watershed Plan ,2013,Gunnison,14020006,Uncompahgre River,Uncompahgre Watershed Partnership,http://www.uncompahgrewatershed.org/wp-content/uploads/2012/03/UncompahgrePlan-Jan2013.pdf
NULL,Upper Slate River Watershed Plan,2014,Gunnison,14020001,Slate River,Coal Creek Watershed Coalition,https://www.colorado.gov/pacific/sites/default/files/WQ_nonpoint_source-2nd-Upper-Slate-River-Watershed-Plan%20Final-2014.pdf
NULL,Updated Sampling and Analysis Plan for Site,,,,,,
"Reclamation and Surface Water,",,,,,,,
"Groundwater, Biological, and Waste",,,,,,,
Rock Sampling ,2003,Rio Grande,13010003,Willow Creek ,Willow Creek Reclamation Committee,http://www.willowcreede.org/completed-projects.html,
NULL,The Alamosa River Watershed Restoration Master Plan and Environmental Assessment,2005,Rio Grande,13010002,Alamosa River,Alamosa,
"River Watershed Restoration Foundation, Inc.",http://cwcbweblink.state.co.us/weblink/0/doc/123626/Page1.aspx?searchid=da985f7b-9053-48f5-af6f-22dbcdeb250d,,,,,,
NULL,Rio Grande Watershed Restoration Strategic Plan,2007,Rio Grande,13010000,Rio Grande Basin,Rio Grande Basin Headwaters Restoration Project Task Force,http://www.riograndeheadwaters.org/programs.html
NULL,Kerber Creek Watershed Management Plan,2010,Rio Grande,13010003,Kerber Creek,Kerber Creek Restoration Project,http://www.kerbercreek.org/watershedplan.pdf
NULL,San Luis Valley Regional Habitat Conservation Plan,2012,Rio Grande,13010003,San Luis Valley floor (250 stream miles),"San Luis Valley Regional Habitat Conservation Plan, The",http://www.slvhcp.com/Web_Docs/Final%20SLV%20HCP%20-%20Nov%202012.pdf
NULL,Rio Grande Basin Water Plan Draft,2014,Rio Grande,13010000,Rio Grande River,Rio Grande Restoration Foundation/Rio Grande Headwaters Restoration Project,http://www.riograndewaterplan.com/rg-plan-0803.pdf
,,,,,,,
,,,,,,,
NULL,San Miguel Watershed Plan,1998,San Juan/ Dolores,14030003,San Miguel River,San Miguel Watershed Coalition,http://sanmiguelwatershed.org/uploads/docs/resource_management/smwcWatershedPlan.pdf
NULL,Stollsteimer Creek Watershed Plan,2006,San Juan/ Dolores,14080102,Stollsteimer Creek,NRCS and San Juan Conservation District,http://www.pawsd.org/2006-Stollsteimer-Watershed-Plan.html
NULL,Watershed Plan for the East Fork of the Dolores River in Dolores County,2006,San Juan/ Dolores,14030002,East Fork Dolores River,Town of Rico,http://cwcbweblink.state.co.us/weblink/0/doc/137080/Electronic.aspx?searchid=eeac973e-818b-4075-b648-6d9a08192b4a
NULL,San Juan Watershed Woody-Invasives Initiative,,,,,,
Implementation Plan,2008,San Juan/ Dolores,14080000,"San Juan Watershed (includes Arizona, Colorado, New Mexico and Utah)",San Juan Watershed Woody-Invasives Initiative,http://www.sjwwii.org/Implementation%20Plan%20SJWWII%201-30-08.pdf,
NULL,Upper Pine River State of the Watershed Report,2008,San Juan/ Dolores,14080101,Pine River,Pine River Watershed Group,http://cwcbweblink.state.co.us/WebLink/ElectronicFile.aspx?docid=136973&&dbid=0
NULL,Dolores River Riparian Action Plan,2010,San Juan/ Dolores,14030002,Dolores River,Dolores River Restoration Partnership,http://ocs.fortlewis.edu/drrp/pdf/2010_Dolores_River_Riparian_Action_Plan.pdf
NULL,Dolores River Riparian Action Plan,2010,San Juan/ Dolores,14030004,Dolores River,Dolores River Restoration Partnership,http://ocs.fortlewis.edu/drrp/pdf/2010_Dolores_River_Riparian_Action_Plan.pdf
NULL,Lower Animas River Watershed Based Plan,2011,San Juan/ Dolores,14080104,Lower Animas River,Animas Watershed Partnership,http://cwcbweblink.state.co.us/weblink/0/doc/158630/Electronic.aspx?searchid=f52eaa3b-282c-4e41-b395-af0422b655ca
NULL,Mancos Watershed Plan,2011,San Juan/ Dolores,14080107,Mancos River,Mancos Valley Watershed Group,http://www.dolorescd.org/docs/WTRSHDPLAN.pdf
NULL,The Animas Watershed Plan,2013,San Juan/ Dolores,14080104,Upper Animas River,Animas River Stakeholder Group,http://www.animasriverstakeholdersgroup.org/
NULL,Dolores River – Nonpoint,,,,,,
Source Pollution Watershed Plan ,2013,San Juan/ Dolores,14030004,Lower Dolores River,Dolores River Dialogue,http://ocs.fortlewis.edu/drd/pdf/Dolores-Watershed-Plan-17-june-2013.pdf,
NULL,Big Dry Creek Watershed Management Plan,2002,South Platte,10190003,Big Dry Creek ,Big Dry Creek Watershed Association,http://www.bigdrycreek.org/documents/FinalWatershedManagementJuly02.pdf
NULL,Watershed Management Plan for the Upper Lefthand Creek ,2005,South Platte,10190005,Lefthand Creek,Lefthand Watershed Oversight Group,http://lwog.org/document/watershed-plan/
NULL,Big Thompson Watershed Management Plan,2007,South Platte,10190006,Big Thompson River,Big Thompson Watershed Forum,http://www.btwatershed.org/2008/Reports/Final%20CWCB%20CWPF%20grant%20report_12-4-07.pdf 
